"hometown"
"Zuerich und Spreitenbach"
"Lommiswil und Bellach"
"Villars 3"
"Herisau"
"Safiental und Reitnau"
"Uetendorf"
"Steinhausen"
"Gais und Buehler"
"Herrliberg und Liestal"
"Zuerich und Neuheim"
"Buchberg"
"Emmen und Luthern"
"Hallau und Oberhallau"
"Homburg"
"Hombrechtikon"
"Burg-Giesen"
"Egnach und Affoltern im Emmental"
"Stadel und Lengnau (BE)"
"Kappelen und Lenk"
"Escholzmatt-Marbach und Sempach"
"Horn"
"Ruswil und Brienz (BE)"
"Coldrerio"
"Chevrilles"
"Zuerich und Mels"
"Tentligen"
"Forst-Laengenbuehl"
"Lugano und Seeberg"
"Clos 3"
"Steckborn"
"Boniswil"
"Taeuffelen und Bern"
"Rain und Malters"
"Gerlafingen"
"Düdingen"
"Lostorf und Rueegsau"
"Sury d'Aspremont"
"Altendorf und Glarus Nord"
"Ditfurth Danz"
"Neyruz"
"Givisiez"
"Basse-Allaine"
"Salenstein und Homburg"
"Holzen-Odermatt"
"Zug und Willisau"
"Gaiserwald"
"Luzern und Huttwil"
"Marbach SG"
"Zuerich und Beringen"
"Koblenz"
"Wichtrach und Thun"
"Massenbach"
"Bofflens"
"Ittigen und Sumiswald"
"Jorat-Mézières"
"La Tour-de-Peilz et Saint-Légier-La Chiésaz"
"Aadorf und Waldkirch"
"Wolfwil und Feusisberg"
"Zuerich und Bauma"
"Euw-Fischer"
"Rain"
"Mundaun"
"Basel und Penthereaz"
"Frutigen und Horgen"
"Baden"
"Bargen"
"Neunforn und Taegerwilen"
"Sissach und Vezia"
"Wittenbach"
"Stuesslingen"
"Opfikon und St.Gallen"
"La Chaux-de-Fonds"
"Sempach und Oberburg"
"Ettiswil"
"Schulthess-Mueller"
"Maennedorf und Zug"
"Lutry"
"Malagnou 40D"
"Zuerich und Vaz/Obervaz"
"Carouge 64"
"Berg (TG) und Muolen"
"Schuepfheim und Malters"
"Bern und Huttwil"
"Allmen"
"Le Locle und Embrach"
"Treycovagnes"
"Oberriet"
"Hasle bei Burgdorf und Untereggen"
"Oberegg und Balgach"
"Ballaigues"
"Tenero-Contra"
"Buchrain und Hitzkirch"
"Basel und Schwarzenburg"
"Grueningen"
"Calanca"
"Jenins"
"Fribourg und St.Ursen"
"Oberembrach und Winterthur"
"Aesch ZH"
"Schwyz und Flawil"
"La Tène"
"Etat-Unis"
"Doppleschwand und Entlebuch"
"Thunstetten und Worb"
"Kriens und Bueron"
"Genolier"
"Aarau und Duebendorf"
"Salgesch und Ayent"
"Gossau (ZH) und Aeugst am Albis"
"Fraubrunnen und Trubschachen"
"Collège 18"
"Wolfwil und Zell LU"
"Braunau"
"Saas Grund"
"Saint-Léonard (VS)"
"Basel und Bubendorf"
"Romont (BE)"
"Ziefen und Rheinfelden"
"Grosswangen"
"Rickenbach (BL)"
"Basel und Gimel"
"Attinghausen"
"Evionnaz et Bagnes"
"Urnäsch"
"Winterthur und Sumiswald"
"Niederoenz"
"Schuepfheim und Hundwil"
"Mézières"
"Zuerich und Rapperswil (BE)"
"Rapperswil-Jona SG"
"Noble-Contrée"
"Courtetelle"
"et au Kosovo"
"2 parts  1'000"
"Le Pâquier (FR)"
"Fehraltorf"
"Winterthur und Gachnang"
"Kirchberg (SG) und Taegerwilen"
"Baar und Kerns"
"Thusis"
"Gros-Chêne 27"
"Sion"
"Stabio"
"Herdern und Volketswil"
"Zuerich und Fischenthal"
"Péry-La-Heutte"
"Laufen-Uhwiesen"
"Uetikon am See"
"Signau und Bonfol"
"Leysin"
"origine inconnu"
"Rickenbach ZH"
"Kriens und Sursee"
"Luthern und Zeiningen"
"Ruswil und Sisikon"
"Birmensdorf (ZH) und Rheineck"
"Royaume Uni"
"Oberembrach"
"Wassen und Goeschenen"
"Zug und Wald (ZH)"
"Gampelen und Plaffeien"
"Auw und Emmen"
"Uster und Hinwil"
"Hasle bei Burgdorf und Eggiwil"
"Zuerich und Glarus Nord"
"Wildberg"
"Zollikon und Wyssachen"
"Begnins et Busswil bei Melchnau"
"Oberegg und Sirnach"
"Aarburg und Aarau"
"Hasle (LU) und Romoos"
"Frick und Geneve"
"Gsteigwiler"
"Muralt"
"Corgemont"
"la Muraille 12"
"Ruswil und Romoos"
"Cornavin 11"
"Glarus und Bregaglia"
"St.Silvester"
"Affeltrangen und Bussnang"
"Ettingen und Oberwil (BL)"
"Winterthur und Appenzell"
"Luehrte-Nietlispach"
"Aeschi bei Spiez und Dintikon"
"La Punt Chamues-ch"
"Rotz Haas"
"Schaffhausen und Rothrist"
"l'Hôpital 37"
"Montaubion-Chardonney"
"Birmenstorf AG"
"Elm"
"Weggis und Wolfenschiessen"
"Schlatt (TG) und Diessenhofen"
"Bern und Wynau"
"Brienzwiler"
"Bercher et Deschamps Benjamin"
"Adliswil et Gilly"
"Rothenburg und Basel"
"l'Industrie 63"
"Romanshorn und Maerstetten"
"Sennwald und Weinfelden"
"Stetten (SH)"
"Dietlikon und Reutigen"
"Menznau und Untereggen"
"Monthey et Gams"
"Studen BE"
"Nebikon und Oberkirch"
"Tahïlande"
"Wilderswil und Langnau im Emmental"
"Kirchberg SG und Wynau"
"Geuensee und Beromuenster"
"Küssnacht (SZ)"
"Riehen und Dagmarsellen"
"Wetzikon (ZH) und Gossau (ZH)"
"Sempach und Beromuenster"
"Ayent (VS)"
"Dägerlen"
"Oensingen SO"
"Eiken und Muhen"
"Hefenhofen und Muellheim"
"vote"
"Oberaegeri und Muemliswil-Ramiswil"
"Hochdorf und Flums"
"Torny"
"Pery-La Heutte"
"Buchs AG"
"la Tène"
"Semsales"
"Wil (SG) und Homburg"
"Sirnach und Eschlikon"
"Luzern und Buttisholz"
"Neuenkirch und Grosswangen"
"Sursee und Fluehli"
"Niederbipp und Buchholterberg"
"Bougy-Villars"
"Diessenhofen"
"Fitnessgeraeten und Zubehoer"
"Zuerich und Walzenhausen"
"St.Gallenkappel"
"Ehrenberg-Berger"
"Berikon und Zug"
"Belfaux"
"Ueken"
"Sachseln und Dierikon"
"Meilen und Waldstatt"
"Rebstein und Ruethi (SG)"
"Gais und Zuerich"
"Horw und Kriens"
"Jonen"
"Bueren-Maier"
"Caméroun"
"Ayent et Vittoz Céline"
"Finsterhennen und Fischingen"
"Beckenried und Zuerich"
"Emmetten"
"la Gare 22"
"Zuerich und Ballwil"
"Bueron und Meggen"
"la Servette 55"
"Buchholterberg"
"Les Verrières NE"
"Bas-Vully"
"Basel und Ipsach"
"Tevenon"
"Basel und Aesch (BL)"
"Zuerich und Aristau"
"Nebikon und Reiden"
"Unterseen"
"Oftringen AG"
"Hunzenschwil"
"CHF 200.00"
"Novalles"
"Schleitheim und Turbenthal"
"Cheyres"
"Guttannen"
"La Chaux-de-Fonds et"
"Reichenbach im Kandertal und Luzern"
"Erlach"
"Gommiswald und Grosswangen"
"Uzwil und Affeltrangen"
"Wangenried"
"Gettnau"
"Glarus Sued und Schangnau"
"Ermatingen und Salenstein"
"Duerrenroth und Safnern"
"Pfungen und Truttikon"
"Genève"
"Zumikon"
"Russikon und Obfelden"
"Adligenswil und Altishofen"
"Geroldswil"
"Basel und Ochlenberg"
"Espagne et Cirlan Sergiu"
"Arb"
"France à Viry (France)"
"Val Terbi"
"Ueberstorf"
"Ependes (FR) und Densbueren"
"Basel"
"Hasle (LU) und Willisau"
"Tiefenau"
"Basel und Thal"
"Obermumpf und Metzerlen-Mariastein"
"Rehetobel und Ruederswil"
"Martigny et Lausanne"
"Îles Fidji"
"Dintikon und Berg (TG)"
"La Baroche und Turbenthal"
"Glutz-Ruchti"
"Récréations 22"
"Oberriet (SG) und Sursee"
"Basel und Birrwil"
"Beromuenster und Zuerich"
"Luzern und Gisikon"
"Nunningen und Surses"
"le Mouret"
"Corbieres"
"Schänis"
"Eschenbach LU"
"Diessenhofen und Ramsen"
"Rovray"
"Cheiry"
"Auw"
"Breuil Edgard"
"Binningen und Arbon"
"Langnau bei Reiden"
"Mouret"
"Rapperswil (BE) und Belp"
"Cartigny"
"Zeihen"
"Elfingen"
"Walperswil und Epsach"
"Zuerich und Churwalden"
"Bellinzona"
"Bueren (SO) und Basel"
"Thalwil und Zuerich"
"Rheineck"
"Wattenwil"
"Fribourg 11"
"Malters und Muri (AG)"
"Sud"
"Schwarzhaeusern"
"Giez VD"
"Zug und Eggersriet"
"Seeberg und Rapperswil (BE)"
"Nottwil und Escholzmatt-Marbach"
"Lueterswil-Gaechliwil"
"Ernen und Zihlschlacht-Sitterdorf"
"Münsingen"
"Zuerich und Safenwil"
"Escholzmatt-Marbach und Wolhusen"
"Lommiswil"
"Zuerich und Menzingen"
"Trogen et Versoix"
"Seehof et Delémont"
"Lenk und Huttwil"
"Rueeggisberg und Walkringen"
"Vucherens"
"Le Sentier"
"Teufenstein"
"Baeretswil und Eschenbach (SG)"
"Saanen und Eptingen"
"Lausanne 42"
"Wetzikon (ZH) und Basel"
"Chapelle (Glâne)"
"Martigny-Combe et Trient"
"Bettenhausen"
"Buetschwil-Ganterschwil und Egnach"
"Genève  Bir Ali Khalifa"
"Eggersriet und Zug"
"Freienstein-Teufen"
"Moudon"
"Malans und Wuennewil-Flamatt"
"Wettingen und Muenchwilen (AG)"
"Aristau und Schafisheim"
"Jonschwil und Safenwil"
"Linden"
"Staefa und Nesslau"
"Adelboden und Trub"
"Fahrni"
"Bakker Gabriella"
"Rehetobel und Regensdorf"
"Maur und Oberiberg"
"Kerns und Ennetbuergen"
"Pully et Trittibach Megan"
"Zuerich und Buchs (AG)"
"Meggen und Malters"
"Ruswil und Buttisholz"
"Werthenstein und Malters"
"Oberhallau und Stein am Rhein"
"Solothurn und Wald (ZH)"
"Schoetz und Niederhelfenschwil"
"Entlebuch und Egolzwil"
"St.Gallen und Zuerich"
"Rohrbach und Wintersingen"
"la Servette 15"
"und in Villars-sur-Glâne"
"Albula/Alvra und Trun"
"Hoeri"
"Riehen und Basel"
"Gunten-Ganter"
"Hünenberg"
"Stetten (AG)"
"Luzern und Sarnen"
"Zuerich und Niederbipp"
"Kriens und Neuenkirch"
"Solothurn und Reigoldswil"
"Engelberg und Kreuzlingen"
"Zuerich und Embrach"
"Lütschental"
"Kriens und Zuerich"
"Zug und Huenenberg"
"la Forêt 17"
"Sainte-Croix und Bremblens"
"Hergiswil bei Willisau und Gossau (SG)"
"Altstaetten und Glarus"
"Huttwil und Walterswil (BE)"
"Bulle"
"Graffenried Simperl"
"Dinhard"
"Herznach-Ueken und Woelflinswil"
"Hitzkirch und Reiden"
"Pont-la-Ville"
"Saint-Aubin"
"Zermatt und Taesch"
"Ettiswil und Willisau"
"Zurzach und Zuerich"
"Fieschertal"
"Muemliswil-Ramiswil"
"Seedorf (BE) und Zuerich"
"Eclépens"
"Kuesnacht ZH und Muhen"
"Murten und Schwendibach"
"Hitzkirch"
"Wattwil und Laeufelfingen"
"Gondiswil"
"Kriens und Wolhusen"
"Basel und Uitikon"
"Vaux-sur-Morges"
"Lully FR"
"Bettwil und Brienz (BE)"
"Schinznach und Zuerich"
"Windisch und Lenzburg"
"Wohlenschwil und Olten"
"Lampenberg"
"Eglantines 4"
"Ittigen und Mosnang"
"Staefa und Hundwil"
"Zwingen"
"Bertschikon"
"Ruswil und Weinfelden"
"Habkern et Valbirse"
"Holderbank (AG) und Veltheim (AG)"
"Oberwil bei Bueren und Baden"
"Liddes"
"Rossa"
"Wuerenlingen und Langenthal"
"Zuerich und Rohrbach"
"Bern und Rueegsau"
"Neuforn"
"Ruethi SG und Kuesnacht ZH"
"Risch und Beromuenster"
"Neuchâtel"
"Fresens"
"la Rochena 5"
"Meilen und Weiach"
"Gelterkinden und Basel"
"Saxon"
"Russikon und Wetzikon (ZH)"
"Frisching-Brun"
"Soyhieres und Wettingen"
"Evolene"
"Savigny und Bourg-en-Lavaux"
"Dagmersellen und Herznach"
"Gossau"
"Mühleberg et"
"Kuettigen"
"Rüschegg"
"Hérémence"
"Neerach und Ursenbach"
"Schlieren und Spreitenbach"
"Melchnau und Schenkon"
"Frutigen"
"Mandement 349"
"Blumenstein und Uebeschi"
"Disentis/Muster und Chur"
"Risch und Binn"
"Aedermannsdorf"
"Eich und Wauwil"
"Russin"
"Tévenon"
"Roggwil"
"Meierskappel und Root"
"Biel/Bienne und Mendrisio"
"Uezwil"
"Domat/Ems und Trin"
"Chiètres (FR)"
"la Côte-aux-Fées"
"Affeltrangen und Lommis"
"Nebikon und Kuessnacht (SZ)"
"Huettlingen"
"Holdt"
"Dagmersellen und Brugg"
"Maienfeld und Bruegg"
"Wittenbach und Zuzwil (SG)"
"Dotzigen"
"Village-de-Perly 19B"
"Flerden"
"Rusie"
"Benken"
"Eclagnens"
"Riehen und Steinen"
"Emmen und Ettiswil"
"Haute-Ajoie"
"Escholzmatt-Marbach und Fluehli"
"Sirnach"
"Zuerich und Weinfelden"
"Valsot und Samnaun"
"Daegerlen"
"Prato Leventina"
"Ulmiz"
"la Chocolatière 4"
"Hitzkirch und Winterthur"
"Le Bémont"
"Hitzkirch und Zetzwil"
"Estavayer"
"Brienz"
"Hasle (LU)"
"promotions immobilières"
"Montagny-les-Monts"
"Muehlenen-Marti"
"Zuerich und Eschenbach (SG)"
"Baden und Koblenz"
"Schangnau"
"Bern und Reutigen"
"Ettingen und Kallern"
"Ederswiler"
"Arconciel"
"Ecublens"
"Aeschi bei Spiez und Frutigen"
"Ropraz"
"Muehleberg und Langnau im Emmental"
"Schaffhausen und Buettenhardt"
"Truellikon und Herznach"
"Reinach (BL) und Winterthur"
"Armenie"
"Frauenfeld und Kirchberg (SG)"
"Wyttenbach"
"Muehleberg und Heimiswil"
"Pontresina und Landquart"
"Hochdorf und Luzern"
"Horgen und Basel"
"Wittenbach und Oberems"
"Lausanne 63"
"Willisau und Ettiswil"
"Berg (SG)"
"Bubendorf und Baeretswil"
"Hofstetten (ZH) und Egg"
"Tannay"
"Ennetbuergen und Luzern"
"Brislach"
"Gleichenstein"
"Diemtigen und Walterswil (BE)"
"Mauritius"
"Bosnie-Herzégovine"
"Thônex"
"Weiach und Wetzikon (ZH)"
"Rickenbach (LU) und Horw"
"Cormoret"
"Waedenswil und Hundwil"
"Carnevale"
"Lenk und Biel/Bienne"
"Bachenbuelach"
"Kuesnacht (ZH) und Schangnau"
"Veytaux"
"Châtel-sur-Montsalvens"
"Handwerksdienstleistungen"
"Zuerich und Obfelden"
"Royaum-Uni"
"Peschke"
"Kammersrohr und Solothurn"
"Oberbüren"
"Taiwan"
"Winterthur und Avers"
"Urdorf und Zuerich"
"Kuesnacht (ZH) und Frutigen"
"Beromuenster und Buttisholz"
"Basel und Bern"
"Neerach und Wald (ZH)"
"Mex (VD)"
"Schwarzenburg und Zofingen"
"Oberrohrdorf und Rottenschwil"
"Maur à Provence"
"St.Gallen und Sarnen"
"Altishofen und Alberswil"
"Buchillon"
"Beinwil am See"
"Rovray  Rovray"
"Moosleerau und Ballwil"
"Sisseln"
"Maegenwil"
"Bischofszell und Kemmental"
"Oberaegeri und Schuepfheim"
"Huettlingen und Stettfurt"
"Lieugex 17"
"Oensingen"
"Burgdorf und Beinwil am See"
"Oberwil im Simmental"
"und in Wuennewil-Flamatt"
"und in Buchegg"
"Neuheim und Schwellbrunn"
"aeschi bei spiez"
"Pedrinate"
"Klosters und Sennwald"
"Yvonand"
"Fehraltorf und Safenwil"
"Prato (Leventina)"
"Bueron"
"Muenchenwiler und Surses"
"Zuerich und Thun"
"Mettauertal und Basel"
"Eschenbach (SG) und Winterthur"
"Grueningen und Safiental"
"Rohrbach und Burgdorf"
"Courchapoix"
"Bärschwil"
"Madiswil BE"
"La Baroche et La Neuveville"
"Ersigen und Langnau im Emmental"
"Martigny-Combe et Martigny"
"Schoetz und Nottwil"
"Koeniz und Winterthur"
"Homburg und Oberlangenegg"
"Vouvry"
"Obersaxen Mundaun"
"Madiswil und Heimiswil"
"Emirats Arabes Unis"
"Montmollin Martial"
"Corserey"
"Macédonie"
"Flims und Winterthur"
"Appenzell und Amden"
"Zuerich und Safiental"
"Château 19"
"Boudry"
"Innertkirchen"
"Zuerich und Stetten (AG)"
"Entlebuch und Emmen"
"Liestal und Walterswil (BE)"
"Ormeaux 4"
"Luzern und Glarus Nord"
"Altdorf"
"Villarepos"
"Lupsingen und Bonstetten"
"Reitnau und Zuerich"
"Martigny und Blitzingen"
"Waldstatt"
"Artisans 8"
"Rickenbach (LU) und Duebendorf"
"Schulthess Rechberg Zwicky"
"Kuesnacht ZH"
"Hoff"
"Bätterkinden"
"Muemliswil-Ramiswil und Luzern"
"Zuerich und Zeihen"
"Bubendorf und Basel"
"Eschenbach (LU)"
"la Praille 50"
"Schaffhausen und Amriswil"
"Eschenz"
"Unterkulm und Ochlenberg"
"Weinfelden und Wetzikon (ZH)"
"Gossau (ZH)"
"Menznau und Aeschi (SO)"
"Nunningen"
"Dietwil"
"Schwarzenberg und Luzern"
"Basel und Huenenberg"
"Schaffhausen und Aristau"
"Roggliswil und Willisau"
"Sigriswil und Schwyz"
"Lausanne 79"
"Zuerich und Boebikon"
"Ueberstorf und St.Antoni"
"Cressier (FR)"
"Pailly"
"Cugy FR"
"Haeggenschwil und Zuerich"
"Gaiserwald und Gossau (SG)"
"Glarona Sud"
"St.Gallen und Rueeggisberg"
"Eich und Grossdietwil"
"Boudevilliers (Val-de-Ruz)"
"Klebelsberg"
"und in Plaffeien"
"Nesslau-Stein"
"Pontresina"
"Obfelden"
"Uerkheim und Thoerigen"
"Wolfhalden"
"Müstair"
"Rorschacherberg und Basel"
"Kaltbrunn und Nesslau"
"Vulliens"
"Silenen und Zuerich"
"Kueblis"
"Grammont 11"
"Koeniz und Eggiwil"
"Montfleury 5D"
"Solothurn und Kammersrohr"
"Coteau 35"
"Seltisberg"
"Attalens"
"Bangerten"
"Bowil und Oberdiessbach"
"La Heutte"
"la Tour-de-Pinchat 5"
"Fátima"
"Berg (SG) und Felben-Wellhausen"
"Roggenburg"
"Buch am Irchel"
"Aire-la-Ville 51"
"Arogno et Saint-Brais"
"70 parts  100"
"Meggen und Engelberg"
"Zuerich und Trun"
"Winterthur und Wallisellen"
"la Condémine 84"
"Wiggiswil"
"Tentlingen"
"Dietikon"
"Luzern und Roethenbach im Emmental"
"Erlinsbach (SO) und Olten"
"Stocken-Hoefen und Eriz"
"Teichman"
"Hefenhofen"
"Horrenbach-Buchen und Thun"
"Laconnex"
"Vevey 93"
"Buseno"
"Fluehli und Schoetz"
"l'Equateur"
"Oberbueren und Burgdorf"
"Noreaz"
"Ruswil und Duerrenaesch"
"Glarus und Glarus Nord"
"Nord"
"Chêne-Bougerie"
"Fully"
"Langendorf"
"la Lécheretta 12"
"Buttisholz und Grosswangen"
"Seengen"
"Egerkingen und Madiswil"
"Chézard-Saint-Martin"
"Mörschwil"
"Schuepfheim und Ruswil"
"Poschiavo  Montreux"
"Luzern und Berneck"
"Schangnau BE"
"Mettingh-von Luckner"
"Billens 71"
"Démoret"
"Buehler"
"Gächlingen"
"Iseltwald und St.Gallen"
"Wichtrach und Eriz"
"Langnau im Emmental und Wynau"
"Zoug"
"Langnau am Albis und Zuerich"
"Moutier"
"Ittigen"
"Bioley-Orjulaz"
"Zuerich und Hergiswil bei Willisau"
"Gorgier"
"Treyvaux"
"Meggen und Horgen"
"Taverne"
"Dallenwil und Schuepfheim"
"Walliswil bei Wangen"
"Zizers"
"Biberist und Bern"
"Zerssen"
"Melano"
"Morlon"
"Yens"
"Kriens und Roggliswil"
"Salvador"
"Schuepfheim und Salgesch"
"Amriswil und Muolen"
"Wyssachen und Naters"
"Hasliberg und Hindelbank"
"Rorschach"
"Wuerenlos und Bern"
"Nuglar-St.Pantaleon und Liestal"
"Kyburg"
"Rheinau"
"La Côte-aux-Fées"
"Buchrain und Dietwil"
"Comano"
"Schuepfheim und Grengiols"
"Ruedlingen"
"Basel und Koelliken"
"Hermetschwil-Staffeln"
"Geneve und Luzern"
"Wolhusen und Hildisrieden"
"Graffenried"
"Gontenschwil und Untervaz"
"Merenschwand"
"Davos"
"Renan BE"
"Churwalden und Tschiertschen-Praden"
"Zofingen und Oberlangenegg"
"Baden und Elsau"
"Stockar-Scherer-Castell"
"Wuppenau"
"Bhicknapahari"
"Kernenried"
"Messen"
"Lyon 42"
"Zuerich und Baeretswil"
"Hohenrain und Luzern"
"Matt"
"St.Stephan und Wohlen bei Bern"
"l'Industrie 9"
"Fribourg und Tafers"
"Neuhausen am Rheinfall und Flurlingen"
"Grindel"
"Cham und Huenenberg"
"Schoenenberg ZH und Niederglatt"
"Meilen und Muemliswil-Ramiswil"
"la Rochelle 22"
"Rheinau und Reiden"
"Heimiswil"
"Egnach"
"Guggisberg und Thun"
"Kilchberg (ZH) und Plaffeien"
"Brigue-Glis"
"Duebendorf und Homburg"
"Bannwil und Wyssachen"
"Auswil und Roggwil (BE)"
"Soyhieres"
"Muriaux"
"Collina d'Oro"
"Pléiades 3"
"Landiswil"
"Zuerich und Erlenbach (ZH)"
"Allmen-Kaiser"
"Capriasca"
"Zeneggen"
"Goeschenen und Spiringen"
"Egerkingen"
"Beatenberg"
"Chur und Zurzach"
"Root und Dierikon"
"Schüpfheim"
"Egolzwil"
"la Grande-Béroche"
"Rain und Dietwil"
"Malters und Reiden"
"Gnosca"
"Unterkulm"
"la Prulay 59"
"Orselina"
"Delémont et Rüschegg"
"Sissach und Rickenbach (SO)"
"Annecy 223"
"Zuerich und Jonen"
"St.Gallen-Tablat SG"
"Reute (AR) und Schaffhausen"
"Uster und Zuerich"
"Zuerich und Gurzelen"
"Hofstetten-Flueh und Basel"
"Thalwil"
"Juriens"
"Zuerich und Krauchthal"
"Davos und Klosters-Serneus"
"Trinidad und Tobago"
"Illnau-Effretikon und Brusio"
"Graechen"
"Moosleerau und Graenichen"
"Grosshoechstetten"
"Nesslau und Sennwald"
"Morges 141"
"Duedingen und St.Ursen"
"Thoerigen und Glarus Nord"
"Uesslingen-Buch und Rapperswil-Jona"
"Arosa und Balgach"
"Bargen SH"
"Winterthur und Buelach"
"Schönholzerswilen"
"Hitzkirch und Kirchberg (SG)"
"Appenzello"
"Winterthur und Reichenburg"
"Seewis im Prättigau"
"deux"
"Morens FR"
"Niederwil"
"Avers"
"Kazakhastan"
"Titterten"
"Hergiswil (NW)"
"Rueschegg und Steckborn"
"Zuerich und Hochdorf"
"Oberwil bei Büren et Moutier"
"la Syrie"
"Reinach AG"
"Vals"
"Goumoëns"
"Kuesnacht (ZH)"
"Ponte Tresa"
"Bad Zurzach"
"la Bernadaz 7b"
"Dagmersellen und Escholzmatt-Marbach"
"Malmborg"
"Zuerich und Erlinsbach (SO)"
"Sursee und Egolzwil"
"Péry"
"Grèce  Pully"
"Zuerich und Mendrisio"
"Richterswil und Meilen"
