"Jahr","Kanton (-) / Bezirk (>>) / Gemeinde (......)","Hauptsprachen - Total Staatsangehörigkeit - Total","Hauptsprachen - Total Schweizer","Hauptsprachen - Total Ausländer","Deutsch Staatsangehörigkeit - Total","Deutsch Schweizer","Deutsch Ausländer","Französisch Staatsangehörigkeit - Total","Französisch Schweizer","Französisch Ausländer","Italienisch Staatsangehörigkeit - Total","Italienisch Schweizer","Italienisch Ausländer","Rätoromanisch Staatsangehörigkeit - Total","Rätoromanisch Schweizer","Rätoromanisch Ausländer","Englisch Staatsangehörigkeit - Total","Englisch Schweizer","Englisch Ausländer","Niederländisch Staatsangehörigkeit - Total","Niederländisch Schweizer","Niederländisch Ausländer","Skandinavische Sprachen Staatsangehörigkeit - Total","Skandinavische Sprachen Schweizer","Skandinavische Sprachen Ausländer","Griechisch Staatsangehörigkeit - Total","Griechisch Schweizer","Griechisch Ausländer","Spanisch Staatsangehörigkeit - Total","Spanisch Schweizer","Spanisch Ausländer","Slawische Sprachen (ohne Tschechisch und Slowakisch) Staatsangehörigkeit - Total","Slawische Sprachen (ohne Tschechisch und Slowakisch) Schweizer","Slawische Sprachen (ohne Tschechisch und Slowakisch) Ausländer","Tschechisch und Slowakisch Staatsangehörigkeit - Total","Tschechisch und Slowakisch Schweizer","Tschechisch und Slowakisch Ausländer","Ungarisch Staatsangehörigkeit - Total","Ungarisch Schweizer","Ungarisch Ausländer","Andere Sprachen Staatsangehörigkeit - Total","Andere Sprachen Schweizer","Andere Sprachen Ausländer"
"1970","......0037 Ossingen",898,864,34,873,861,12,2,2,0,14,0,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,5,2,0,2,0,0,0,0,0,0,1,0,1
"1970","......0038 Rheinau",2075,1900,175,1956,1876,80,7,6,1,38,10,28,7,7,0,0,0,0,0,0,0,2,0,2,0,0,0,20,0,20,27,1,26,0,0,0,6,0,6,12,0,12
"1970","......0039 Thalheim an der Thur",462,450,12,453,450,3,0,0,0,0,0,0,0,0,0,4,0,4,2,0,2,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0
"1970","......0040 Trüllikon",724,691,33,690,687,3,0,0,0,16,1,15,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,5,0,5
"1970","......0041 Truttikon",275,270,5,270,269,1,1,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","......0042 Unterstammheim",693,627,66,626,622,4,1,1,0,53,0,53,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,1,3,0,0,0,0,0,0,6,0,6,0,0,0
"1970","......0043 Volken",210,206,4,204,204,0,1,1,0,4,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","......0044 Waltalingen",447,419,28,420,418,2,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,1,0,0,0,0
"1970",">> Bezirk Bülach",84046,66249,17797,68307,63681,4626,1269,1150,119,10140,606,9534,280,275,5,425,163,262,330,68,262,166,75,91,287,9,278,1246,86,1160,495,32,463,299,20,279,213,35,178,589,49,540
"1970","......0051 Bachenbülach",2307,1639,668,1715,1583,132,23,19,4,393,7,386,8,8,0,20,13,7,6,2,4,2,2,0,12,0,12,36,1,35,15,1,14,28,0,28,5,1,4,44,2,42
"1970","......0052 Bassersdorf",5590,4436,1154,4587,4270,317,92,86,6,718,33,685,15,14,1,17,5,12,12,3,9,13,6,7,10,0,10,68,12,56,22,3,19,13,2,11,5,2,3,18,0,18
"1970","......0053 Bülach",11043,8392,2651,8770,8171,599,103,99,4,1747,67,1680,23,21,2,18,6,12,21,13,8,16,8,8,15,0,15,133,4,129,110,1,109,27,0,27,27,0,27,33,2,31
"1970","......0054 Dietlikon",4381,3269,1112,3435,3134,301,57,48,9,606,31,575,27,27,0,21,7,14,8,4,4,10,7,3,18,0,18,86,6,80,26,2,24,47,0,47,10,1,9,30,2,28
"1970","......0055 Eglisau",2160,1894,266,1912,1873,39,13,13,0,193,2,191,5,5,0,0,0,0,2,1,1,0,0,0,2,0,2,19,0,19,9,0,9,1,0,1,1,0,1,3,0,3
"1970","......0056 Embrach",4123,3350,773,3455,3241,214,43,40,3,447,28,419,12,12,0,15,8,7,13,3,10,15,5,10,9,0,9,54,3,51,16,3,13,6,3,3,0,0,0,38,4,34
"1970","......0057 Freienstein-Teufen",1219,980,239,1004,973,31,2,2,0,189,1,188,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,5,1,4,0,0,0,1,0,1,2,0,2
"1970","......0058 Glattfelden",2857,2079,778,2125,2041,84,10,10,0,576,18,558,3,3,0,1,0,1,2,1,1,2,2,0,1,0,1,38,2,36,10,0,10,8,2,6,4,0,4,77,0,77
"1970","......0059 Hochfelden",677,507,170,512,500,12,4,4,0,126,2,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,24,0,24,4,0,4,0,0,0,4,0,4
"1970","......0060 Höri",2103,1546,557,1640,1514,126,17,13,4,381,5,376,5,5,0,3,1,2,11,1,10,4,3,1,6,0,6,17,1,16,7,1,6,8,0,8,1,1,0,3,1,2
"1970","......0061 Hüntwangen",596,562,34,568,557,11,5,5,0,8,0,8,0,0,0,5,0,5,7,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0
"1970","......0062 Kloten",16388,13004,3384,13446,12249,1197,390,354,36,1442,180,1262,60,60,0,151,51,100,116,20,96,39,21,18,133,2,131,296,28,268,60,6,54,98,6,92,75,9,66,82,18,64
"1970","......0063 Lufingen",595,526,69,521,505,16,10,9,1,36,3,33,4,4,0,7,4,3,9,0,9,1,0,1,0,0,0,3,1,2,0,0,0,4,0,4,0,0,0,0,0,0
"1970","......0064 Nürensdorf",2012,1706,306,1704,1646,58,36,30,6,187,10,177,2,2,0,27,14,13,14,1,13,6,3,3,0,0,0,14,0,14,5,0,5,1,0,1,0,0,0,16,0,16
"1970","......0065 Oberembrach",726,678,48,683,666,17,8,7,1,24,2,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,0,0,0,0,0,0,0,0,1,1,0
"1970","......0066 Opfikon",11115,8551,2564,8825,8032,793,243,222,21,1330,129,1201,73,71,2,66,25,41,48,10,38,26,9,17,46,3,43,246,21,225,70,7,63,22,3,19,34,6,28,86,13,73
"1970","......0067 Rafz",2215,1770,445,1795,1759,36,4,3,1,327,2,325,2,2,0,2,0,2,0,0,0,1,1,0,3,1,2,18,0,18,19,1,18,0,0,0,0,0,0,44,1,43
"1970","......0068 Rorbas",1205,910,295,938,902,36,3,3,0,232,3,229,2,2,0,0,0,0,3,0,3,0,0,0,11,0,11,4,0,4,3,0,3,0,0,0,0,0,0,9,0,9
"1970","......0069 Wallisellen",10415,8349,2066,8555,8013,542,175,156,19,1102,80,1022,35,35,0,51,16,35,22,7,15,29,6,23,20,2,18,182,5,177,76,6,70,32,4,28,46,14,32,90,5,85
"1970","......0070 Wasterkingen",296,289,7,292,288,4,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","......0071 Wil (ZH)",934,858,76,876,854,22,0,0,0,37,2,35,0,0,0,2,0,2,7,1,6,1,1,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,1,0,1
"1970","......0072 Winkel",1089,954,135,949,910,39,30,26,4,36,1,35,0,0,0,19,13,6,29,1,28,1,1,0,1,1,0,7,0,7,7,0,7,0,0,0,2,1,1,8,0,8
"1970",">> Bezirk Dielsdorf",37654,29859,7795,31025,28962,2063,427,391,36,4703,217,4486,127,125,2,116,40,76,90,20,70,52,20,32,86,7,79,432,19,413,192,17,175,126,8,118,135,12,123,143,21,122
"1970","......0081 Bachs",419,415,4,410,409,1,4,4,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1970","......0082 Boppelsen",373,349,24,352,345,7,2,2,0,9,0,9,1,1,0,0,0,0,2,0,2,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","......0083 Buchs (ZH)",1552,1244,308,1266,1194,72,27,24,3,174,15,159,5,5,0,4,1,3,13,2,11,3,1,2,0,0,0,21,1,20,4,0,4,21,1,20,5,0,5,9,0,9
"1970","......0084 Dällikon",1316,998,318,1042,975,67,13,13,0,191,8,183,1,1,0,0,0,0,6,0,6,0,0,0,5,0,5,40,0,40,6,0,6,2,0,2,4,1,3,6,0,6
"1970","......0085 Dänikon",373,317,56,327,303,24,5,5,0,24,7,17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,8,1,0,1,4,0,4,1,0,1,2,1,1
