Nr.,Kt.,bfs_gmde_nummer_1974,bfs_gmde_name_1974,Stimmberechtigte,Abgegebene Stimmen,Stimmbeteiligung in %,leer,ungültig,Gültige Stimmen,JA,NEIN,JA in %
22,VD,5797,La Rogivue,27.0,18.0,66.66666666666667,,,18,5,13,27.77777777777778
22,VD,5798,Ropraz,186.0,121.0,65.05376344086021,,,121,45,76,37.1900826446281
22,VD,5799,Servion,182.0,113.0,62.087912087912095,,,112,21,91,18.75
22,VD,5800,Les Tavernes,75.0,47.0,62.666666666666664,,,47,14,33,29.78723404255319
22,VD,5801,Les Thioleyres,81.0,32.0,39.50617283950617,,,32,7,25,21.875
22,VD,5802,Vuibroye,54.0,43.0,79.62962962962963,,,40,14,26,35.0
22,VD,5803,Vulliens,221.0,133.0,60.18099547511312,,,132,43,89,32.57575757575758
22,VD,5811,Cerniaz (VD),55.0,18.0,32.72727272727273,,,18,5,13,27.77777777777778
22,VD,5812,Champtauroz,67.0,34.0,50.746268656716424,,,34,9,25,26.47058823529412
22,VD,5813,Chevroux,204.0,133.0,65.19607843137254,,,133,61,72,45.86466165413533
22,VD,5814,Combremont-le-Grand,199.0,114.0,57.28643216080401,,,114,28,86,24.561403508771928
22,VD,5815,Combremont-le-Petit,192.0,122.0,63.54166666666667,,,120,22,98,18.333333333333336
22,VD,5816,Corcelles-près-Payerne,792.0,493.0,62.247474747474755,,,490,180,310,36.734693877551024
22,VD,5817,Grandcour,466.0,265.0,56.866952789699575,,,259,85,174,32.818532818532816
22,VD,5818,Granges-près-Marnand,633.0,398.0,62.875197472353875,,,394,129,265,32.74111675126903
22,VD,5819,Henniez,188.0,80.0,42.5531914893617,,,80,34,46,42.5
22,VD,5820,Marnand,112.0,66.0,58.92857142857143,,,66,27,39,40.90909090909091
22,VD,5821,Missy,185.0,124.0,67.02702702702703,,,124,37,87,29.838709677419352
22,VD,5822,Payerne,4008.0,2684.0,66.96606786427145,,,2651,816,1835,30.780837419841568
22,VD,5823,Rossens (VD),30.0,15.0,50.0,,,15,3,12,20.0
22,VD,5824,Sassel,108.0,41.0,37.96296296296296,,,40,14,26,35.0
22,VD,5825,Sédeilles,111.0,56.0,50.450450450450454,,,56,17,39,30.357142857142858
22,VD,5826,Seigneux,119.0,62.0,52.10084033613445,,,61,20,41,32.786885245901644
22,VD,5827,Trey,146.0,102.0,69.86301369863013,,,99,48,51,48.484848484848484
22,VD,5828,Treytorrens (Payerne),88.0,56.0,63.63636363636364,,,55,22,33,40.0
22,VD,5829,Villars-Bramard,62.0,38.0,61.29032258064516,,,38,21,17,55.26315789473685
22,VD,5830,Villarzel,119.0,84.0,70.58823529411765,,,84,27,57,32.142857142857146
22,VD,5841,Château-d'Oex,1943.0,1159.0,59.65002573340196,,,1146,206,940,17.975567190226876
22,VD,5842,Rossinière,316.0,200.0,63.29113924050633,,,197,24,173,12.182741116751268
22,VD,5843,Rougemont,516.0,255.0,49.418604651162795,,,253,47,206,18.57707509881423
22,VD,5851,Allaman,233.0,152.0,65.23605150214593,,,151,32,119,21.192052980132452
22,VD,5852,Bursinel,118.0,80.0,67.79661016949152,,,80,16,64,20.0
22,VD,5853,Bursins,217.0,147.0,67.74193548387098,,,146,18,128,12.32876712328767
22,VD,5854,Burtigny,169.0,110.0,65.08875739644971,,,110,20,90,18.18181818181818
22,VD,5855,Dully,76.0,52.0,68.42105263157896,,,52,8,44,15.384615384615385
22,VD,5856,Essertines-sur-Rolle,190.0,121.0,63.68421052631579,,,119,30,89,25.210084033613445
22,VD,5857,Gilly,356.0,226.0,63.48314606741573,,,224,49,175,21.875
22,VD,5858,Luins,128.0,81.0,63.28125,,,81,22,59,27.160493827160494
